"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"3014","Congo, Dem. Rep.",180,"ZAR",1999,"Congo (Kinshasa)",1068000,18.55794,17.9700778,140677675.852632,145406337.22583,199900781.936667,0,11295988.7923191,2.0865147679,2.19,0,0,0,140677675.852632,145406337.22583,199900781.936667,2.8801066765,2.976916985,4.0925866397,20.95697,19.97697,994853.106,135316964.884257,2.77035636,0,0,0,0,0,2.77035636,48844606,50283549,1,1.0336134454,1.4209843938,1.3747735192
"3015","Costa Rica",188,"CRI",1973,"Costa Rica",0,12.58577,3.29,0,0,0,0,13512777.2517836,2.4959841772,0.22,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886035,1886035,1,3.876222,5.32892736,1.3747735192
"3016","Austria",40,"AUT",1937,"Austria",30191,13.9813,1.18,261134.0354,3130172.42316221,4303278.15778007,NA,0,NA,0.05,NA,NA,NA,261134.0354,3130172.42316221,4303278.15778007,0.0386578883,0.463385999,0.6370508006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6755000,6755000,1,11.986842,16.47919296,1.3747735192
"3017","Lithuania",440,"LTU",1955,"Lithuania",NA,12.26506,1.93,NA,NA,NA,NA,12384826.4999508,2.2876371308,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614336,2614336,0,6.426504,8.83498752,1.3747735192
"3018","Moldova",498,"MDA",1990,"Moldova",NA,30.875,23.7258203,NA,NA,NA,NA,17577255.8683605,3.2467457806,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4394000,4394000,0,1.3175210406,1.8112930375,1.3747735192
"3019","Namibia",516,"NAM",1999,"Namibia",0,18.55794,17.9700778,0,0,0,0,11295988.7923191,2.0865147679,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846699,1846699,1,1.0336134454,1.4209843938,1.3747735192
"3020","Comoros",174,"COM",1956,"Comoros",NA,12.07436,1.93,NA,NA,NA,NA,13319530.6022402,2.4602890295,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167245,167245,0,6.333516,8.70715008,1.3747735192
"3021","Jordan",400,"JOR",2013,"Jordan",1095.6,80.3195300542,108.6585177866,872609.174397391,645025.905344037,886764.533841614,0.9895594581,14835996.8499363,2.7403998971,3.7072900048,19861006.0763201,14681101.0029418,20183188.891013,20733615.2507175,15326126.9082859,21069953.4248546,3.2095379645,2.3724654657,3.2616026973,NA,NA,NA,NA,NA,0,-30.54748,-5.7064604756,NA,NA,NA,6460000,NA,1,0.7391922114,1.0162218779,1.3747735192
"3022","Bulgaria",100,"BGR",1954,"Bulgaria",NA,12.21305,1.93,NA,NA,NA,NA,0,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7423300,7423300,1,6.400674,8.79947712,1.3747735192
"3023","Belize",84,"BLZ",1996,"Belize",0,22.48449,20.6684884,0,0,0,0,12412518.0098546,2.2927521097,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222972,222972,1,1.0975143403,1.508833652,1.3747735192
"3024","Ireland",372,"IRL",1988,"Ireland",0,21.41834,14.9238417,0,0,0,13.2514595728,14635548.3378126,2.7033744726,1.69,133236836.316894,193942377.124,266626844.313747,133236836.316894,193942377.124,266626844.313747,37.7254545317,54.9139752355,75.4942789858,0,-28.08352,-1398559.296,-219548368.611232,-62.1642049339,NA,NA,NA,NA,NA,NA,3531749,3529600,1,1.4556213018,2.0011496196,1.3747735192
"3025","Argentina",32,"ARG",1960,"Argentina",8774863,10.91287,1.9,122207517.001,709818654.24201,975839889.260375,9.7825736098,15656296.5687308,2.8919198312,0.14,26368940.2107947,153158873.64,210558763.705221,148576457.211795,862977527.88201,1186398652.9656,7.2098751738,41.8771612311,57.5716123183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20607355,20616009,1,5.808306,7.98510528,1.3747735192
